freq,purchase,unit,geo\TIME_PERIOD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,DW_EXST,RCH_A_AVG,LT,,,33.7,5.2,-31.3,-4.3,5.9,-1.8,2.2,6.8,3.3,6.5,8.6,7.1,7.0,7.7,17.1,18.3,6.8,9.6,10.7
A,DW_EXST,RCH_A_AVG,LU,,,,1.5,-3.6,5.9,4.8,3.9,3.3,5.1,4.0,6.2,5.7,8.0,10.7,14.7,14.9,8.8,-11.1,-6.0,1.5
A,DW_EXST,RCH_A_AVG,LV,,,38.0,0.6,-37.0,-12.3,6.0,0.7,7.4,5.3,-2.1,8.5,8.9,10.2,8.9,2.5,14.0,14.2,0.8,2.4,8.3
A,DW_EXST,RCH_A_AVG,MT,,,,,-6.9,-3.6,0.1,3.5,3.9,3.0,5.0,6.5,5.7,4.4,5.0,6.5,2.2,5.9,6.8,7.2,6.7
A,DW_EXST,RCH_A_AVG,NL,,4.6,4.2,3.0,-3.4,-2.3,-2.4,-6.4,-6.6,0.9,3.0,5.5,8.1,9.2,7.0,7.9,15.1,13.3,-2.9,8.7,8.6
A,DW_EXST,RCH_A_AVG,NO,,,,,,,8.0,6.9,4.1,2.7,7.1,8.3,5.6,1.1,2.7,4.5,10.1,5.3,0.0,3.1,5.7
A,DW_EXST,RCH_A_AVG,PL,,,,,,,-0.4,-5.1,-3.7,1.3,0.7,2.5,4.5,7.5,10.4,13.8,9.3,11.8,7.3,13.4,4.2
A,DW_EXST,RCH_A_AVG,PT,,,,,-1.2,0.8,-6.6,-7.8,-2.2,4.3,4.0,8.7,10.4,11.0,10.2,9.1,9.6,13.9,8.7,9.7,18.9
A,DW_EXST,RCH_A_AVG,RO,,,,,,-7.7,-13.8,-6.5,0.2,-2.2,3.4,6.0,7.3,5.9,3.8,4.9,5.0,5.1,0.6,3.4,6.9
A,DW_EXST,RCH_A_AVG,SE,,14.6,13.7,0.5,2.5,9.0,1.9,0.9,6.4,10.6,14.9,8.5,6.7,-2.9,2.0,5.7,12.3,1.9,-6.6,1.3,1.7
A,DW_EXST,RCH_A_AVG,SI,,,,4.8,-7.6,2.1,0.7,-5.6,-5.3,-6.9,0.6,3.8,7.8,8.9,8.0,4.8,11.5,15.5,7.3,7.4,5.8
A,DW_EXST,RCH_A_AVG,SK,,,,,,,-1.0,-1.6,1.3,1.3,6.4,7.0,5.4,8.1,11.0,10.6,7.5,12.1,0.4,4.1,12.8
A,DW_EXST,RCH_A_AVG,TR,,,,,,,8.4,10.9,11.4,12.6,16.0,12.7,11.0,8.1,4.1,23.5,35.7,148.3,101.6,41.1,
A,DW_EXST,RCH_A_AVG,UK,,8.0,10.1,-4.6,-8.8,6.1,-1.7,0.5,2.5,8.0,6.0,6.8,4.5,3.1,1.0,,,,,,
A,DW_NEW,I15_A_AVG,AT,,,,,,76.16,80.13,86.79,90.98,94.72,100.0,107.85,110.47,115.98,122.9,132.08,143.12,159.58,159.13,163.17,167.92
A,DW_NEW,I15_A_AVG,BE,80.13,84.04,87.8,89.98,89.01,88.99,92.49,94.21,97.74,95.67,100.0,103.49,107.91,111.35,114.79,119.88,127.41,134.14,136.92,145.06,147.59
